CurrentlyListed,Name,RFMOName,IMO,NNR,VesselType,GearType,Flag,IRCS,MMSI,GT,DWT,Length,YearOfBuild,Depth,BuiltIn,OwnerName,OperatorName,VesselStatus,IOTC,Reason,ICCAT,Reason,IATTC,Reason,WCPFC,Reason,CCAMLR,Reason,SEAFO,Reason,INTERPOL,Reason,NEAFC,Reason,NAFO,Reason,SPRFMO,Reason,CCSBT,Reason,GFCM,Reason,NPFC,Reason,SIOFA,Reason
FALSE,DUBREKA,Cliff,8028424,51100,"Fish carrier, Reefer",,Dominica,J7AW4,325110000,2732,3346,80.75,198201,7.8,"Capelle a/d IJssel, Scheepswerf en Mfbk. Ysselwerf B.V. - Capelle a/d IJssel Yard/hull No.: 202, Netherlands",Sonit Sarl (Societe Sonit Guinee-Sarl),"Sonit S/L Ltd,",In Service/commission,,,,,,,,,,,2007-10-31 - 2009-07-10,,,,2005-04-01 - 2009-07-10,OBS by NOR transhipping in the NEAFC Regulatory Area,2007-02-18 - 2009-07-10,,,,,,,,,,,
TRUE,EL SHADDAI,,8025082,N467,Fishing Vessel,Demersal longline,South Africa,ZR6358,601126800,"571.000, 635.900, 635.000, 636.000",,45.85,"1980, 198102",3.56,"Kochi, Kochi, Japan",Braxton Security Services CC,Braxton Security Services CC,In Service/commission,2022-02-26 - ,,2021-12-18 - ,Cross-listing,,,,,2021 - ,Fishing inside a closed area (Subarea 58.7) (26 May – 08 Aug 2015 and 06 May – 22 Jun 2016) (26 May 2015),2021 - ,Cross-listing,,,2021 - ,Cross-listing,,,,,2022-01-18 - ,Cross-listing,,,,,2022-03-04 - ,Cross-listing
FALSE,EPHRAEEM,EPHRAEEM,,IND-TN-15-MM-4779,Fishing Vessel,"Gillnets, Longline",India,,,,,,,,,,,,2017-05 - 2018-12-14,"Fishing without a license, use of prohibited gear and no logbook in the waters of the UK (OT)",2017-07-15 - 2019,Following IOTC,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,EROS DOS,Eros Dos,8604668,37161PEXT,"Fishing Vessel, Fishery support vessel",Longline,Unknown,HO5115,,369,268,36.5,198912,5.82,"Vigo, Hijos de J. Barreras S.A. - Vigo Yard/hull No.: 1499, Spain",Suarpesca SA,Suarpesca SA,Laid-Up,2019-12 - ,Cross-listing,2020 - 2022-01-29,Cross-listing,,,,,,,2008-02-29 - ,,,,2008-02-29 - 2022-01-06,,2008-08-04 - ,,,,,,2014-05 - ,,,,2019 - 2022-03-04,Cross-listing
FALSE,EVA,Eva,8522119,M-01039,"Fishing Vessel, Stern Trawler",Trawl unspecified,Georgia,4LPH,,1898,690,62.26,198505,9.22,"Stralsund, VEB Volkswerft Stralsund - Stralsund Yard/hull No.: 677, German Democratic Republic",A B Bocyp Fishing Ltd,Northern Fishers Co (OOO 'Severnaya Rybolovetskaya Kompaniya'),Broken Up,,,,,,,,,,,2007-10-31 - 2009-11-13,,,,2004-10-04 - 2009-11-13,,2006-09-22 - 2009-11-13,NAFO Div. 1F,,,,,,,,,,
FALSE,F/V EMILY,F/V Emily,,,,,St. Vincent and the Grenadines,,,,,,,,,Continental Ltd.,,,,,2005-11-20 - 2006-11-26,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FLORENTINO,Daniela F,9130793,P-04-00943,Fishing Vessel,Purse seine,Ecuador,HC5240,,3726,3706,107.5,199704,10.08,"Group Tomas A. Alonso 100, Apartado 35, 36208 Vigo (Pontevedra), Spain, H. J. Barreras",Importeq SA; Importadora Y Exportadora De Maquinas Y Equipos Industriales Importeq SA,Importeq SA; Importadora Y Exportadora De Maquinas Y Equipos Industriales Importeq SA,Broken Up,,,,,,,2007-12-07 - 2009-12-11,,,,,,,,,,,,,,,,,,,,,
FALSE,FONG KUO NO. 819,Seed Leaf,8913992,42061-10-C,"Reefer, Fish carrier, Cargo vessel",,Panama,3FCY3,370070000,5131,6523,115,"199101, 1990",10.1,"Hachinohe, Aomori, Kitanihon Zosen K.K., Japan","FK Overseas Corp, F.K. OVERSEAS CORP.",FK Overseas Co Ltd,In Service/commission,,,,,,,,,2006-11-03 - 2008-11-07,Undocumented transhipment,2007-10-31 - 2008-11-07,,,,,,,,,,,,,,,,,
TRUE,FREEDOM 7,"No. 101 Gloria, ZHI MING",7302548,,"Reefer, Fishing Vessel, Cargo vessel",Longline,Cameroon,,,655,557,,197302,4.05,"Shizuoka, Shizuoka, KK Kanasashi Zosen - Shizuoka SZ, Japan",Long-Teng Int'l Trading Co Ltd,Long-Teng Int'l Trading Co Ltd,In Service/commission,2019-12 - ,Cross-listing,2006-11-26 - ,Vessels greater than 24m not included in ICCAT Record of Vessels. Seen fishing in the MED during closed season,,,,,,,,,,,2014-05 - ,Cross-listing,,,,,2020-02-26 - ,Cross-listing,2014-05 - ,,,,2019 - ,Cross-listing
TRUE,FU HSIANG FA 18,Fu Hsiang Fa 18,,,Fishing Vessel,Longline,,,,,,,,,,,,,2015-05-01 - ,Operating in the IOTC area without authorisation,2015-10-02 - ,Following IOTC,,,,,,,,,,,2015 - ,Cross-listing,,,,,2020-02-26 - ,Cross-listing,,,,,2020 - ,Cross-listing
TRUE,FU HSIANG FA NO. 01,Fu Hsiang Fa No. 01,,,,,,,,,,,,,,,,,2014-06-05 - ,Operating in the IOTC area without authorisation,2015-10-02 - ,Following IOTC,,,,,,,,,,,2014-06 - ,Cross-listing,,,,,2020-02-26 - ,Cross-listing,,,,,2020 - ,Cross-listing
TRUE,FU HSIANG FA NO. 02,Fu Hsiang Fa No. 02,,,,,,,,,,,,,,,,,2014-06-05 - ,Operating in the IOTC area without authorisation,2015-10-02 - ,Following IOTC,,,,,,,,,,,2014-06 - ,Cross-listing,,,,,2020-02-26 - ,Cross-listing,,,,,2020 - ,Cross-listing
TRUE,FU HSIANG FA NO. 06,Fu Hsiang Fa No. 06,,,,,,,,,,,,,,,,,2014-06-05 - ,Operating in the IOTC area without authorisation,2015-10-02 - ,Following IOTC,,,,,,,,,,,2014-06 - ,Cross-listing,,,,,2020-02-26 - ,Cross-listing,,,,,2020 - ,Cross-listing
TRUE,FU HSIANG FA NO. 08,Fu Hsiang Fa No. 08,,,,,,,,,,,,,,,,,2014-06-05 - ,Operating in the IOTC area without authorisation,2015-10-02 - ,Following IOTC,,,,,,,,,,,2014-06 - ,Cross-listing,,,,,2020-02-26 - ,Cross-listing,,,,,2020 - ,Cross-listing
TRUE,FU HSIANG FA NO. 09,Fu Hsiang Fa No. 09,,,,,,,,,,,,,,,,,2014-06-05 - ,Operating in the IOTC area without authorisation,2015-10-02 - ,Following IOTC,,,,,,,,,,,2014-06 - ,Cross-listing,,,,,2020-02-26 - ,Cross-listing,,,,,2020 - ,Cross-listing
TRUE,FU HSIANG FA NO. 11,Fu Hsiang Fa No. 11,,,,,,,,,,,,,,,,,2014-06-05 - ,Operating in the IOTC area without authorisation,2015-10-02 - ,Following IOTC,,,,,,,,,,,2014-06 - ,Cross-listing,,,,,2020-02-26 - ,Cross-listing,,,,,2020 - ,Cross-listing
TRUE,FU HSIANG FA NO. 13,Fu Hsiang Fa No. 13,,,,,,,,,,,,,,,,,2014-06-05 - ,Operating in the IOTC area without authorisation,2015-10-02 - ,Following IOTC,,,,,,,,,,,2014-06 - ,Cross-listing,,,,,2020-02-26 - ,Cross-listing,,,,,2020 - ,Cross-listing
TRUE,FU HSIANG FA NO. 17,Fu Hsiang Fa No. 17,,,,,,,,,,,,,,,,,2014-06-05 - ,Operating in the IOTC area without authorisation,2015-10-02 - ,Following IOTC,,,,,,,,,,,2014-06 - ,Cross-listing,,,,,2020-02-26 - ,Cross-listing,,,,,2020 - ,Cross-listing
TRUE,FU HSIANG FA NO. 20,Fu Hsiang Fa No. 20,,,,,,,,,,,,,,,,,2014-06-05 - ,Operating in the IOTC area without authorisation,2015-10-02 - ,Following IOTC,,,,,,,,,,,2014-06 - ,Cross-listing,,,,,2020-02-26 - ,Cross-listing,,,,,2020 - ,Cross-listing
TRUE,FU HSIANG FA NO. 21,Fu Hsiang Fa No. 21,,,,,,,,,,,,,,,,,2013-05-31 - ,Vessel not on the IOTC register,2013-06-04 - ,From IOTC,,,,,,,,,,,2013 - ,Cross-listing,,,,,2020-02-26 - ,Cross-listing,2014-05 - ,,,,2020 - ,Cross-listing
TRUE,FU HSIANG FA NO. 23,Fu Hsiang Fa No. 23,,,,,,,,,,,,,,,,,2014-06-05 - ,Operating in the IOTC area with authorisation,2015-10-02 - ,Following IOTC,,,,,,,,,,,2014-06 - ,Cross-listing,,,,,2020-02-26 - ,Cross-listing,,,,,2020 - ,Cross-listing
TRUE,FU HSIANG FA NO. 26,Fu Hsiang Fa No. 26,,,,,,,,,,,,,,,,,2014-06-05 - ,Operating in the IOTC area without authorisation,2015-10-02 - ,Following IOTC,,,,,,,,,,,2014-06 - ,Cross-listing,,,,,2020-02-26 - ,Cross-listing,,,,,2020 - ,Cross-listing
TRUE,FU HSIANG FA NO. 30,Fu Hsiang Fa No. 30,,,,,,,,,,,,,,,,,2014-06-05 - ,Operating in the IOTC area without authorisation,2015-10-02 - ,Following IOTC,,,,,,,,,,,2014-06 - ,Cross-listing,,,,,2020-02-26 - ,Cross-listing,,,,,2020 - ,Cross-listing
TRUE,FU LIEN NO. 1,Fu Lien No 1,7355662,,Fishing Vessel,,Unknown,,,305,370,46.94,1973,3.54,"1973 Daedong Shipbuilding Co Ltd - Busan Yard/hull No.: 110, Busan",Fu Lien Fishery Co Ltd,Fu Lien Fishery Co Ltd,Continued Existence In Doubt,2019-12 - ,Cross-listing,2013-03-14 - ,,,,2010-12-10 - ,"harvested species covered by the WCPFC Convention in the Convention Area (CMM 2007- 03, para 3h)",,,,,,,2010 - ,Cross-listing,,,,,2020-02-26 - ,Cross-listing,2014-05 - ,,,,2019 - ,Cross-listing
TRUE,FULL RICH,Full Rich,,,Fishing Vessel,Longline,Unknown,HMEK3,,527,,43.39,,,,Noel International Ltd.,Noel International Ltd.,,2013-05-31 - ,Operating in the IOTC area without authorisation,2013-06-04 - ,From IOTC,,,,,,,,,,,2013-05-31 - ,Cross-listing,,,,,2020-02-26 - ,Cross-listing,2014-05 - ,,,,2020 - ,Cross-listing
FALSE,GLORIOUS HARMONY,Ocean Liberty,7806702,,Fishing Vessel,Purse seine,Equatorial Guinea,,,2669,1756,85.1,197902,9.2,"Gdansk, Stocznia Polnocna SA (Northern Shipyard), Poland",Interocean TSM Holdings Pte Ltd; Marine Ocean Shipping SA,International Fishing Corp Pte Ltd,Broken Up,2005-06-03 - 2006-05-26,Contravention of IOTC Resolution 02/04,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,GOD BLESS,IMULA 0846 KLT/GOD BLESS ,,IMULA 0846 KLT,Fishing Vessel,,Sri Lanka,,,,,,,,,,,,2021-06-09 - ,Unmarked gear in water; Not on AFV list; believed to have been fishing in BIOT waters for 10 days.,,,,,,,,,,,,,2021-06 - ,Cross-listing,,,,,2021-07-12 - ,Cross-listing,,,,,2022-03-04 - ,Cross-listing
TRUE,GOIDAU RUEY NO.1,Goidau Ruey No.1,,,,,Unknown,HO2508,,99,,25.52,,2,,"Goidau Ruey Industrial, S.A.",,,2019-12 - ,Cross-listing,2013-08-20 - ,from IATTC,2009-06-06 - ,,,,,,,,,,2009-06 - ,Cross-listing,,,,,2020-02-26 - ,Cross-listing,2014-05 - ,,,,2019 - ,Cross-listing
TRUE,GOOD HOPE,Good Hope,7020126,SR1185,"Supply Vessel, Platform Supply Ship",,Nigeria,5NMU,657379000,580,945,50.3,197000,4.58,"Houston, TX, Mangone Swiftships Inc., USA, United States Of America",Port Plus Ltd,Port Plus Ltd,In Service/commission,2019-12 - ,Cross-listing,2019 - ,Cross-listing,,,,,2007-11-02 - ,,2007-11-02 - ,,,,2007 - ,Cross-listing,,,,,2020-02-26 - ,Cross-listing,2014-05 - ,,,,2019 - ,Cross-listing
TRUE,GORILERO,Gorilero,6719419,,"Fishing Vessel, Trawler",Trawl unspecified,Unknown,,,362,,38.31,196706,3.97,"Bideford, Appledore Shipbuilders Ltd. - Appledore Yard/hull No.: A.S. 33, United Kingdom",Trianon Business SA,Trianon Business SA,In Service/commission,2019-12 - ,Cross-listing,2020 - ,Cross-listing,,,,,,,2007-10-31 - ,,,,2004-12-20 - ,,2007-02-18 - ,,,,,,2014-05 - ,,,,2019 - ,Cross-listing
TRUE,GUNUAR MELYAN 21,Gunuar Melyan 21,,,,,,,,,,,,,,,,,2008-06-11 - ,IOTC Contravention of IOTC Resolution 07/02,2009 - ,IOTC Contravention of IOTC Resolution 07/02,,,,,,,,,,,2008-06 - ,Cross-listing,,,,,2020-02-26 - ,Cross-listing,2014-05 - ,,,,2019 - ,Cross-listing
TRUE,"HAI DA 705, HAIDA 705, ??705",HAI DA 705,,,Fishing Vessel,Driftnets,,,,,,,,,,,,,2019-12 - ,Cross-listing,,,,,,,,,,,,,2017-08 - ,Cross-listing,,,,,,,,,2017-07 - ,,2019 - ,Cross-listing
TRUE,HALELUYA,,,MC-05-585,Fishing Vessel,Longline,Colombia,HJLX,,80,,"24.500, 26.000, 246.000",2001,1.6,"Chien Fu Ship Building Co Ltd, Taiwan, Taiwan",Imanely SAS,,,2021-06-14 - ,Cross-listing,2021-02-17 - ,"EU : suspects this vessel, without nationality, may be engaging in fishing activities in ICCAT Convention Area. Believed by Environmental Justice Foundation (EJF) to be flagged or previously flagged to Tanzania (See Doc. COC-312/2020)",,,,,,,,,,,2021-02 - ,Cross-listing,,,,,2021-03-25 - ,Cross-listing,,,,,2021-04-05 - ,Cross-listing
TRUE,HALIFAX,,8529533,,Fishing Vessel,Longline,Namibia,V5IW,663212000,"93.000, 98.000, 93.180",,"23.800, 27.320",200200,2,Chinese Taipei,Global Marine Service Ltd; Southern Wolf Holdings (PTY) Ltd; SOUTH WOLF HOLDINGS (PTY) LTD,"HSIN FEI TRADING AND INVESTMENT CO. LTD (NATIC SARL); HSIN FEI TRADING INVESTMENT CO. LTD Dite NATIC SARL (NATIC SARL); HSIN FEI TRADING INVESTMENT COMPANY Dite NATIC SARL (NATIC SARL); HSINFEI INVESTMENT COMPANY, dite NATIC SARL; HSINFEI INVESTMENT COMPANY, dite NATIC SARL (NATIC SARL)",In Service/Commission,2021-06-09 - ,Cross-listing,2021-02-17 - ,USA: the U.S. Coast Guard observed approximately 250 shark fins strung from lines throughout the vessel’s decks.,,,,,,,,,,,2021-02 - ,Cross-listing,,,,,2021-03-25 - ,Cross-listing,,,,,2020 - ,Cross-listing
TRUE,HEAVY SEA,Heavy Sea,7322926,,Fishing Vessel,,,,,"599.000, 2212.000",492,55.3,197306,3.89,"Shizuoka, Shizuoka, Kanasashi Heavy Industries Co Ltd (Shimizu, Shizuoka , Japan), Japan",Barroso Fish SA,Barroso Fish SA,In Service/commission,2019-12 - ,Cross-listing,2019 - ,Cross-listing,,,,,2004-11-05 - ,Inside Division 58.5.1; 58.5.1,2007-10-31 - ,,,,2004 - ,Cross-listing,,,,,2020-02-26 - ,Cross-listing,2014-05 - ,,,,2019 - ,Cross-listing
FALSE,HIROYOSHI - 17,Hiroyoshi 17,8565836,15.19.0001.02.44375,"Fishing Vessel, Reefer, Fish carrier",Longline,Indonesia,YEA5515,525500291,171,,33.57,199903,2.7,Indonesia,"INTIMAS SURYA, PT, INTIMAS SURYA, PT., PT. INTIMAS SURYA","INTIMAS SURYA, PT, INTIMAS SURYA, PT., PT. INTIMAS SURYA; INTIMAS SURYA, PT.",In Service/Commission,,,2011-08-30 - 2012-06-21,,2005-12-26 - 2012-06-21,,,,,,,,,,,,,,,,,,,,,,,
TRUE,HOOM XIANG 101,Hoom Xiang 101,,,Fishing Vessel,Longline,Unknown,,,,,23.5,,,,Unknown,,,2014-06-05 - ,Operating in the IOTC area without authorisation,2015-10-02 - ,Following IOTC,,,,,,,,,,,2014-06 - ,Cross-listing,,,,,2020-02-26 - ,Cross-listing,,,,,2020 - ,Cross-listing
TRUE,HOOM XIANG 103,Hoom Xiang 103,,,Fishing Vessel,Longline,Unknown,,,,,24.2,,,,Unknown,,,2014-06-05 - ,Operating in the IOTC area without authorisation,2015-10-02 - ,Following IOTC,,,,,,,,,,,2014-06 - ,Cross-listing,,,,,2020-02-26 - ,Cross-listing,,,,,2020 - ,Cross-listing
TRUE,HOOM XIANG 105,Hoom Xiang 105,,,Fishing Vessel,Longline,Unknown,,,,,25.8,,,,Unknown,,,2014-06-12 - ,Operating in the IOTC area without authorisation,2015-10-02 - ,Following IOTC,,,,,,,,,,,2014-06 - ,Cross-listing,,,,,2020-02-26 - ,Cross-listing,,,,,2020 - ,Cross-listing
TRUE,HOOM XIANG 11,Hoom Xiang 11,,,Fishing Vessel,Longline,Unknown,,,,,27.1,,,,,,,2010-03-05 - ,Contravention of IOTC Resolution 09/03,2011-08-30 - ,,,,,,,,,,,,2010-03 - ,Cross-listing,,,,,2020-02-26 - ,Cross-listing,2014-05 - ,,,,2019 - ,Cross-listing
FALSE,HSIN CHI WANG NO. 8,Hsin Chi Wang No. 8,8994300,,Fishing Vessel,,Unknown,,,125,,29.7,200112,2.15,"Xinyuan, Jin Jiahn Lih Shipbuilding Co., Ltd., Chinese Taipei",Rptd Sold Undisclosed Interest,Rptd Sold Undisclosed Interest,In Service/commission,,,,,2005-12-26 - 2006-06-30,,,,,,,,,,,,,,,,,,,,,,,
FALSE,HSIN TSAN NO. 2,Hsin Tsan No. 2,,,,,Belize,V3VK8,,98,,25.5,2002,2.12,Chien Renn Shipbuilding Co. Ltd,,,Sunk,,,,,2005-12-26 - 2006-06-30,,,,,,,,,,,,,,,,,,,,,,,
FALSE,HUNG CHI FU,Talamanca,2597590,,Fishing Vessel,Longline,,,,80,,27.6,200004,2,"Chinese Taipei, Chien Renn Shipbuilding Co. Ltd","Transportes El Pescador, S.A.","Transportes El Pescador, S.A.",In Service/Commission,,,,,2005-12-26 - 2006-06-30,,,,,,,,,,,,,,,,,,,,,,,
FALSE,HUNG CHI FU 12,Yuh Shan,,,,,Unknown,,,80,,26.1,2002,1.9,Chien Renn Shipbuilding Co. Ltd,,"Yuh Shan Fishery Co., Ltd",,,,,,2005-12-26 - 2006-06-30,,,,,,,,,,,,,,,,,,,,,,,
FALSE,HUNG CHI FU 3,Yu Long 27,,,,,Unknown,,,55,,22.1,2002,1.7,"Jin Jiahn Lih Shipbuilding Co., Ltd.",,Pesca Tuna SA; Pescatuna Sociedad Anonima,,,,,,2005-12-26 - 2006-06-30,,,,,,,,,,,,,,,,,,,,,,,
FALSE,"HUNG CHI FU 33, HUNG CHI FU NO. 33",Yu Long 68,2699843,,Fishing Vessel,Longline,,,,"95.000, 95.760",,22.8,199909,3.5,"Tecnonaval SA, Costa Rica, Tecnonaval S.A.",Pesca Tuna SA; Pescatuna Sociedad Anonima,Pesca Tuna SA; Pescatuna Sociedad Anonima,In Service/Commission,,,,,2005-12-26 - 2006-06-30,,,,,,,,,,,,,,,,,,,,,,,
FALSE,HUNG CHI FU 35,Reymar No. 1,,,Fishing Vessel,Longline,Costa Rica,,,99,,29.3,2001,2,Chien Renn Shipbuilding Co. Ltd,Hung Chuan Wang Shih / Astilleros Mariscos del Pacifico SA,,,,,,,2005-12-26 - 2006-06-30,,,,,,,,,,,,,,,,,,,,,,,
FALSE,HUNG CHI FU 68,Reymar No. 2,,,Fishing Vessel,Longline,Thailand,HSN5658,567000445,98,,"30.900, 30.300",2002,2.1,Chien Renn Shipbuilding Co. Ltd,Shealth Services (Thailand) Co Ltd,Shealth Services (Thailand) Co Ltd,,,,,,2005-12-26 - 2006-06-30,,,,,,,,,,,,,,,,,,,,,,,
FALSE,HUNG CHI FU NO. 16,Yu Long No. 21,,,,,Belize,V3WC7,,55,,22.1,2002,1.7,"Jin Jiahn Lih Shipbuilding Co., Ltd.",,Pesca Tuna SA; Pescatuna Sociedad Anonima,,,,,,2005-12-26 - 2006-06-30,,,,,,,,,,,,,,,,,,,,,,,
FALSE,HUNG CHI FU NO. 27,Yu Long 37,2700642,,Fishing Vessel,Longline,,,,55,,18.3,200205,1.7,"Chinese Taipei, Jin Jiahn Lih Shipbuilding Co., Ltd.",Pesca Tuna SA; Pescatuna Sociedad Anonima,Pesca Tuna SA; Pescatuna Sociedad Anonima,In Service/Commission,,,,,2005-12-26 - 2006-06-30,,,,,,,,,,,,,,,,,,,,,,,
FALSE,HUNG JIE WEI NO. 2,Conchita VIII,,,,,Unknown,,,79,,27.8,2002,2,Shing Sheng Fa Boatbuilding Co. Ltd,,,,,,,,2005-12-26 - 2006-06-30,,,,,,,,,,,,,,,,,,,,,,,
TRUE,IANNIS I,Iannis I,7332218,3035304,"Fishing Vessel, Trawler",Trawl unspecified,Unknown,HO3374,,320,,37.39,197409,3.92,"El Astillero, Ast. de Santander S.A. - Santander Yard/hull No.: 84, Spain",Iannis Corp,Iannis Corp,Total Loss,2019-12 - ,Cross-listing,2020 - ,Cross-listing,,,,,,,2007-10-31 - ,,,,2004-04-04 - ,040404 In port in Spain. Inspection: No Regulated Resources onboard. 210504 OBS by EU fishing in the NEAFC Regulatory Area,2007-02-18 - ,,,,,,2014-05 - ,,,,2019 - ,Cross-listing
FALSE,IN SUNG NO. 7,East Ocean,9230660,0912001-6261107,Fishing Vessel,,South Korea,DTBX4,,647,,54.55,200102,3.65,"Kaohsiung, Lien Cherng Shipbuilding Co., Ltd. (Kaohsiung , China, Republic Of (Taiwan)), Chinese Taipei","Insung Corp, Insung Corporation, INSUNG CORPORATION","Insung Corp, Insung Corporation, INSUNG CORPORATION",Broken Up,,,,,,,,,2004-11-05 - 2008-11-07,Fishing inside Division 58.4.3; 58.4.1; 58.4.3b; 58.4.3b; Inside division 58.4.3b,2007-10-31 - 2008-10-07,,,,,,,,,,,,,,,,,
FALSE,ISABELLA,Isabella,8422838,M-01038,"Fishing Vessel, Stern Trawler",Trawl unspecified,,,,1898,690,62.26,198409,9.22,"Stralsund, VEB Volkswerft Stralsund - Stralsund Yard/hull No.: 654, German Democratic Republic",A B Bocyp Fishing Ltd,Northern Fishers Co (OOO 'Severnaya Rybolovetskaya Kompaniya'),Broken Up,,,,,,,,,,,2007-10-31 - 2009-11-13,,,,2002-04-18 - 2009-11-13,,2006-09-22 - 2009-11-13,"NAFO Div. 1F, 31.07.2006",,,,,,,,,,
TRUE,ISRAR 1,,8004076,,Fishing Vessel,Longline,Unknown,,,"349.000, 536.000",,"47.600, 47.620, 44.800, 51.160","1997, 198007",3.6,"Kamo, Shizuoka, Japan",ALMURAN INTERNATIONAL LLC; Starlight LLC,ALMURAN INTERNATIONAL LLC; Starlight LLC,Broken Up,2022-02-26 - ,,2021-11-23 - ,Harvest tunas and tuna-like species in the Convention area and are not registered on the relevant ICCAT list of vessels authorized to fish for tuna and tuna-like species in the ICCAT Convention area.,,,,,,,,,,,,,,,,,2022-01-18 - ,Cross-listing,,,,,2022-03-04 - ,Cross-listing
TRUE,ISRAR 2,,8568694,,Fishing Vessel,Longline,Unknown,A4BA3,461000127,"93.000, 98.000, 87.000, 107.000",,23.8,200200,2,Chinese Taipei,ALMURAN INTERNATIONAL LLC; Starlight LLC,ALMURAN INTERNATIONAL LLC; Starlight LLC,In Service/Commission,2022-02-26 - ,,2021-11-23 - ,Harvest tunas and tuna-like species in the Convention area and are not registered on the relevant ICCAT list of vessels authorized to fish for tuna and tuna-like species in the ICCAT Convention area.,,,,,,,,,,,,,,,,,2022-01-18 - ,Cross-listing,,,,,2022-03-04 - ,Cross-listing
TRUE,ISRAR 3,,8568682,,Fishing Vessel,Longline,Unknown,A4BA5,461000128,"93.000, 89.000, 87.000, 107.000",,23.8,200200,2,Chinese Taipei,ALMURAN INTERNATIONAL LLC; Starlight LLC,ALMURAN INTERNATIONAL LLC; Starlight LLC,In Service/Commission, - 2022-02-26,,2021-11-23 - ,Harvest tunas and tuna-like species in the Convention area and are not registered on the relevant ICCAT list of vessels authorized to fish for tuna and tuna-like species in the ICCAT Convention area.,,,,,,,,,,,,,,,,,2022-01-18 - ,Cross-listing,,,,,2022-03-04 - ,Cross-listing
FALSE,ITZIAR II,Itziar II,6803961,,"Fishing Vessel, Trawler",Trawl unspecified,,5NTV3,,631,587,58.98,196800,4.75,"Trieste, Alto Adriatico S.P.A., Cantieri Dell' (Trieste , Italy), Italy",Monteco Shipping Corp,Monteco Shipping Corp,Total Loss,,,,,,,,,2003-11-07 - 2017,Inside Division 58.5.1; Fishing inside Division 58.5.1; Inside Division 58.4.3b; 58.4.3b; 58.4.3b; 58.4.3b; Fishing inside Division 58.4.3,2007-10-31 - 2019,,,,,,,,,,,,2014-05 - 2018,,,,,
FALSE,JIMMY WIJAYA XXXV,Jimmy Wijaya XXXV,,115 No.937/Bc,Fishing Vessel,Longline,Indonesia,YE4683,,115,,25.68,,,,"Farida, FARIDA","Farida, FARIDA",,,,2011-08-30 - 2012,,2005-12-26 - 2012,,,,,,,,,,,,,,,,,,,,,,,
FALSE,JIN SHYANG YIH 668,Jin Shyang Yih 666,,58 00 0147 1,Fishing Vessel,Longline,,HSN6022,,99,,"25.520, 29.300",2001,,Chien Renn Shipbuilding Co Ltd,Shealth Services (Thailand) Co Ltd,"JIN SHYANG YIH FISHERY CO.,LTD.",,,,,,2005-12-26 - 2006-06-30,,,,,,,,,,,,,,,,,,,,,,,
FALSE,JINN FENG TSAIR NO. 1,Jinn Feng Tsair No. 1,,CT4-2444,Fishing Vessel,Longline,Taiwan,BJ4444,,54.82,,22,1995,1.72,Chinese Taipei,"JHENG, ZONG-SIN",,,,,,,,,2007-12-07 - 2013-02-06,"Fishing in the Exclusive Economic Zone of the Federated States of Micronesia without permission and in contravention of Federated States of Micronesia’s laws and regulations. (CMM 2007-03, para 3b)",,,,,,,,,,,,,,,,,,,,
TRUE,JINZHANG,JINZHANG,6607666,,"Fishing Vessel, Trawler",Trawl unspecified,,,,866,1145,49,196600,4.81,"Vigo, Barreras S.A., Hijos De J., Spain",,Rptd Sold Undisclosed Interest,In Service/commission,2019-12 - ,Cross-listing,2006-11-03 - ,Cross-listing,,,,,2006-11-03 - ,Fishing inside Division 58.4.3b; 58.4.3b; 58.4.2; 58.4.3b,2007-10-31 - ,,,,2006 - ,Cross-listing,,,,,2020-22-60 - ,Cross-listing,2014-05 - ,,,,2019 - ,Cross-listing
FALSE,JOSELITO,Mar Cantabrico,8212415,P-04-00996,Fishing Vessel,Purse seine,Ecuador,HC5759,735059351,"304.000, 304.170",341,31.53,198208,"4.530, 6.500","Seattle, WA, United States Of America, Marco Marine, USA","Grupo Degfer Cia Ltda, Grupo Degfer CIA LTDA","Grupo Degfer Cia Ltda, Grupo Degfer CIA LTDA",In Service/commission,,,2011-08-30 - 2012-06-21,,2011-07-01 - 2012-06-21,Fished during a closure in 2010,,,,,,,,,,,,,,,,,,,,,,
FALSE,JUANITA,Juanita,8522042,M-01035,"Fishing Vessel, Stern Trawler",Trawl unspecified,Cyprus,4LSM,,1898,690,62.26,198503,9.22,"Stralsund, Volkswerft Stralsund - Stralsund Yard/hull No.: 670, German Democratic Republic",A B Bocyp Fishing Ltd,Northern Fishers Co (OOO 'Severnaya Rybolovetskaya Kompaniya'),Broken Up,,,,,,,,,,,2007-10-31 - 2009-11-13,,,,2004-10-04 - 2009-11-13,,2006-09-22 - 2009-11-13,NAFO Div. 1F,,,,,,,,,,
TRUE,JYI LIH 88,Jyi Lih 88,,,,,,,,,,,,,,,,,2019-12 - ,Cross-listing,2013-08-20 - ,From IATTC,2005-12-26 - ,,,,,,,,,,2005-12 - ,Cross-listing,,,,,2020-02-26 - ,Cross-listing,2014-05 - ,,,,2019 - ,Cross-listing
